Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;Coordonnée en X (L93);Coordonnée en Y (L93);geo_shape;geo_point_2d
2000028;90 BD DE LA CHAPELLE 29 RUE CHARBONNIERE;75018;Paris;2001;PARIS HABITAT;6;0;6;0;0;construction neuve;;18;logement familial;652578.3229;6865105.033;"{""coordinates"": [2.3533469673677816, 48.884213899547184], ""type"": ""Point""}";48.884213899547184, 2.3533469673677816
2000097;62, AVENUE MICHEL BIZOT;75012;Paris;2002;SEQENS HABITAT;24;9;15;0;0;acquisition réhabilitation;;12;logement familial;656108.0009;6859651.706;"{""coordinates"": [2.4020396805642026, 48.83542282012853], ""type"": ""Point""}";48.83542282012853, 2.4020396805642026
2000113;93, RUE SAINT DOMINIQUE 2-4 RUE AMELIE;75007;Paris;2002;PARIS HABITAT;15;0;15;0;0;acquisition réhabilitation;;7;logement familial;649172.164;6862393.531;"{""coordinates"": [2.307226483261079, 48.85957020973672], ""type"": ""Point""}";48.85957020973672, 2.307226483261079
2000157;14-18, RUE CAUCHY;75015;Paris;2002;ELOGIE SIEMP;92;14;58;0;20;acquisition conventionnement;;15;logement familial;646851.079;6860572.5488;"{""coordinates"": [2.2758199012674734, 48.84300703013455], ""type"": ""Point""}";48.84300703013455, 2.2758199012674734
2000161;345, RUE SAINT MARTIN;75003;Paris;2002;FREHA;16;16;0;0;0;acquisition réhabilitation;;3;logement familial;652686.5479;6863328.5006;"{""coordinates"": [2.3550205543434504, 48.86824595023758], ""type"": ""Point""}";48.86824595023758, 2.3550205543434504
2000172;22 RUE BERANGER (RS);75003;Paris;2002;ADOMA;39;39;0;0;0;acquisition réhabilitation;;3;résidence sociale pour démunis;653309.559;6863132.4474;"{""coordinates"": [2.3635346455168578, 48.866528340254874], ""type"": ""Point""}";48.866528340254874, 2.3635346455168578
2000174;6-16 RUE DAUBIGNY;75017;Paris;2002;PARIS HABITAT;121;0;121;0;0;acquisition réhabilitation;;17;logement familial;649330.256;6865182.6408;"{""coordinates"": [2.3090484989830755, 48.884664399630495], ""type"": ""Point""}";48.884664399630495, 2.3090484989830755
2000176;100, RUE DE JAVEL;75015;Paris;2002;RES.URB.;55;0;55;0;0;acquisition conventionnement;;15;logement familial;647573.435;6860674.7751;"{""coordinates"": [2.2856492144407357, 48.84398551966323], ""type"": ""Point""}";48.84398551966323, 2.2856492144407357
2000177;69, AVENUE DU DOCTEUR ARNOLD NETTER;75012;Paris;2002;ANTIN;35;0;35;0;0;acquisition conventionnement;;12;logement familial;656393.291;6860799.8554;"{""coordinates"": [2.405808466163551, 48.845767589852834], ""type"": ""Point""}";48.845767589852834, 2.405808466163551
2000194;97 BD DAVOUT;75020;Paris;2003;FONCIERE;20;0;0;0;20;construction neuve;;20;logement familial;656709.9779;6861862.1071;"{""coordinates"": [2.4100153815301413, 48.85534178026296], ""type"": ""Point""}";48.85534178026296, 2.4100153815301413
2000241;8, RUE DE LA CHAUSSEE D'ANTIN;75009;Paris;2003;ELOGIE SIEMP;28;0;28;0;0;acquisition réhabilitation;;9;logement familial;651146.679;6863723.4178;"{""coordinates"": [2.3339845542732167, 48.87168240016268], ""type"": ""Point""}";48.87168240016268, 2.3339845542732167
2000283;50 RUE PIAT;75020;Paris;2003;(vide);1;1;0;0;0;acquisition réhabilitation;;20;logement familial;654804.071;6863840.316;"{""coordinates"": [2.3838310971515106, 48.8730006797824], ""type"": ""Point""}";48.8730006797824, 2.3838310971515106
2000303;24 RUE DU RENDEZ VOUS;75012;Paris;2004;ELOGIE SIEMP;9;0;9;0;0;acquisition réhabilitation;;12;logement familial;656259.708;6860772.1911;"{""coordinates"": [2.403991158495159, 48.84550974974028], ""type"": ""Point""}";48.84550974974028, 2.403991158495159
2000307;45-47 RUE DUHESME;75018;Paris;2004;EFIDIS;3;0;3;0;0;acquisition réhabilitation;;18;logement familial;651663.1659;6865989.2705;"{""coordinates"": [2.340767584398051, 48.89209748012537], ""type"": ""Point""}";48.89209748012537, 2.340767584398051
