Arrondissement,annee_mutation,prix_m2,type_local,nombre_pieces_principales
3,2020,12333.333333333334,Appartement,1.0
1,2020,10000.0,Appartement,2.0
1,2020,13089.583333333334,Appartement,1.0
8,2020,388.8,Appartement,2.0
8,2020,13977.333333333334,Local industriel. commercial ou assimilé,0.0
8,2020,12307.692307692309,Appartement,1.0
3,2020,118533.33333333333,Local industriel. commercial ou assimilé,0.0
3,2020,1020.0,Appartement,4.0
3,2020,12986.111111111111,Appartement,3.0
3,2020,10937.5,Appartement,2.0
8,2020,23333.333333333332,Appartement,2.0
8,2020,30434.782608695652,Local industriel. commercial ou assimilé,0.0
8,2020,13265.30612244898,Appartement,2.0
3,2020,13137.8125,Appartement,3.0
8,2020,60869.565217391304,Local industriel. commercial ou assimilé,0.0
8,2020,88.70967741935483,Appartement,2.0
3,2020,12727.272727272728,Appartement,1.0
1,2020,8050.847457627118,Appartement,4.0
1,2020,190000.0,Local industriel. commercial ou assimilé,0.0
1,2020,57814.81481481482,Local industriel. commercial ou assimilé,0.0
1,2020,21985.915492957745,Local industriel. commercial ou assimilé,0.0
1,2020,11739.130434782608,Appartement,1.0
1,2020,14757.142857142857,Appartement,1.0
3,2020,11607.142857142857,Appartement,3.0
8,2020,10769.23076923077,Appartement,2.0
3,2020,6532.258064516129,Local industriel. commercial ou assimilé,0.0
8,2020,14743.589743589744,Appartement,4.0
8,2020,14935.064935064935,Appartement,4.0
8,2020,17042.25352112676,Appartement,3.0
8,2020,14265.625,Appartement,1.0
8,2020,8538.461538461539,Appartement,3.0
1,2020,10472.727272727272,Appartement,1.0
3,2020,14000.0,Appartement,1.0
3,2020,22653.061224489797,Appartement,5.0
3,2020,69375.0,Appartement,1.0
1,2020,10975.609756097561,Appartement,2.0
1,2020,9425.0,Appartement,3.0
3,2020,14974.418604651162,Appartement,3.0
1,2020,37211.666666666664,Appartement,2.0
8,2020,15000.0,Appartement,1.0
3,2020,9733.333333333334,Local industriel. commercial ou assimilé,0.0
1,2020,13500.0,Appartement,1.0
8,2020,10139.86013986014,Local industriel. commercial ou assimilé,0.0
1,2020,145000.0,Local industriel. commercial ou assimilé,0.0
1,2020,30851.063829787236,Local industriel. commercial ou assimilé,0.0
8,2020,14797.979797979799,Appartement,6.0
3,2020,4285.6819444444445,Appartement,3.0
8,2020,86.20689655172414,Local industriel. commercial ou assimilé,0.0
3,2020,13333.333333333334,Appartement,1.0
1,2020,12604.166666666666,Appartement,1.0
8,2020,13240.4,Appartement,2.0
8,2020,25531.91489361702,Appartement,4.0
3,2020,10612.244897959185,Appartement,2.0
8,2020,22187.5,Local industriel. commercial ou assimilé,0.0
8,2020,29583.333333333332,Local industriel. commercial ou assimilé,0.0
8,2020,44375.0,Local industriel. commercial ou assimilé,0.0
1,2020,10416.666666666666,Local industriel. commercial ou assimilé,0.0
8,2020,14105.263157894737,Appartement,3.0
3,2020,16822.448979591838,Appartement,3.0
8,2020,468.75,Appartement,1.0
8,2020,368.42105263157896,Appartement,4.0
8,2020,11559.142857142857,Appartement,2.0
1,2020,10374.6875,Appartement,1.0
3,2020,12666.666666666666,Appartement,3.0
3,2020,6428.571428571428,Appartement,1.0
1,2020,11627.450980392157,Appartement,1.0
1,2020,15500.0,Appartement,1.0
1,2020,9735.166666666666,Appartement,2.0
3,2020,12448.979591836734,Local industriel. commercial ou assimilé,0.0
3,2020,8740.74074074074,Appartement,1.0
1,2020,14029.411764705883,Appartement,2.0
1,2020,14837.75,Appartement,1.0
3,2020,2500.0,Local industriel. commercial ou assimilé,0.0
1,2020,9081.514285714286,Appartement,1.0
3,2020,7361.111111111111,Appartement,2.0
8,2020,12500.0,Appartement,4.0
8,2020,2444458.3333333335,Local industriel. commercial ou assimilé,0.0
3,2020,10000.0,Appartement,1.0
1,2020,24736.842105263157,Appartement,1.0
8,2020,30521.739130434784,Appartement,1.0
8,2020,13500.0,Appartement,0.0
8,2020,13750.0,Appartement,1.0
3,2020,11800.0,Appartement,1.0
8,2020,9428.57142857143,Appartement,1.0
1,2020,13571.42857142857,Local industriel. commercial ou assimilé,0.0
8,2020,12600.0,Appartement,2.0
1,2020,514.2857142857143,Local industriel. commercial ou assimilé,0.0
3,2020,10000.0,Appartement,1.0
8,2020,14939.142857142857,Local industriel. commercial ou assimilé,0.0
1,2020,48.19277108433735,Appartement,6.0
3,2020,12187.5,Appartement,1.0
1,2020,20500.0,Appartement,3.0
3,2020,11190.47619047619,Appartement,1.0
8,2020,15181.818181818182,Appartement,1.0
3,2020,36734.69387755102,Appartement,6.0
8,2020,16192.307692307691,Appartement,1.0
1,2020,10000.0,Appartement,1.0
8,2020,8055.555555555556,Local industriel. commercial ou assimilé,0.0
3,2020,7142.857142857143,Local industriel. commercial ou assimilé,0.0
3,2020,13137.931034482759,Appartement,1.0
8,2020,12261.904761904761,Local industriel. commercial ou assimilé,0.0
3,2020,17000.0,Appartement,1.0
8,2020,17187.5,Appartement,1.0
8,2020,10000.0,Local industriel. commercial ou assimilé,0.0
3,2020,14542.857142857143,Appartement,2.0
3,2020,13333.333333333334,Appartement,1.0
8,2020,10191.578947368422,Appartement,6.0
3,2020,10588.235294117647,Appartement,1.0
3,2020,15476.190476190477,Appartement,1.0
8,2020,614.7540983606557,Local industriel. commercial ou assimilé,0.0
3,2020,10800.0,Appartement,1.0
3,2020,14423.076923076924,Appartement,2.0
1,2020,19086.956521739132,Appartement,1.0
3,2020,10000.0,Appartement,1.0
3,2020,12750.0,Appartement,1.0
3,2020,14652.014285714286,Appartement,2.0
3,2020,25641.024999999998,Appartement,1.0
1,2020,9222.222222222223,Appartement,1.0
3,2020,27426.470588235294,Appartement,3.0
3,2020,15767.333333333334,Appartement,1.0
8,2020,6200.0,Appartement,1.0
1,2020,16071.42857142857,Appartement,2.0
8,2020,12272.727272727272,Appartement,2.0
1,2020,12746.666666666666,Appartement,1.0
3,2020,15000.0,Local industriel. commercial ou assimilé,0.0
3,2020,13489.258064516129,Appartement,3.0
3,2020,14411.764705882353,Appartement,1.0
1,2020,14905.555555555555,Appartement,2.0
3,2020,12643.67816091954,Appartement,3.0
3,2020,15517.241379310344,Local industriel. commercial ou assimilé,0.0
8,2020,11034.48275862069,Appartement,3.0
8,2020,9750.0,Local industriel. commercial ou assimilé,0.0
3,2020,12833.333333333334,Appartement,1.0
8,2020,12727.272727272728,Appartement,1.0
1,2020,13644.0625,Appartement,1.0
1,2020,96774.19354838709,Local industriel. commercial ou assimilé,0.0
8,2020,81.25,Appartement,4.0
3,2020,10619.047619047618,Appartement,1.0
3,2020,11465.116279069767,Appartement,2.0
3,2020,11176.470588235294,Appartement,2.0
8,2020,700.0,Appartement,4.0
8,2020,12548.75,Appartement,1.0
8,2020,11958.288590604026,Appartement,5.0
8,2020,12745.901639344262,Appartement,4.0
8,2020,11660.869565217392,Appartement,4.0
3,2020,6862.924528301887,Appartement,2.0
8,2020,14000.872093023256,Appartement,6.0
1,2020,11764.70588235294,Appartement,1.0
1,2020,20161.290322580644,Appartement,4.0
3,2020,8196.42857142857,Appartement,2.0
1,2020,12735.833333333334,Appartement,1.0
8,2020,11323.561151079137,Local industriel. commercial ou assimilé,0.0
8,2020,8064.5161290322585,Local industriel. commercial ou assimilé,0.0
3,2020,12794.871794871795,Appartement,1.0
3,2020,49900.0,Appartement,1.0
3,2020,12948.71794871795,Appartement,1.0
3,2020,14705.882352941177,Appartement,1.0
3,2020,14000.0,Appartement,2.0
3,2020,14102.564102564103,Appartement,2.0
8,2020,9458.333333333334,Appartement,1.0
1,2020,15116.279069767443,Appartement,2.0
1,2020,12134.184210526315,Appartement,2.0
3,2020,14190.0,Appartement,2.0
3,2020,9526.315789473685,Appartement,4.0
8,2020,22000.0,Local industriel. commercial ou assimilé,0.0
8,2020,39600.0,Local industriel. commercial ou assimilé,0.0
3,2020,30000.0,Appartement,1.0
3,2020,15840.384615384615,Appartement,1.0
3,2020,10263.2,Appartement,1.0
3,2020,3733.3333333333335,Local industriel. commercial ou assimilé,0.0
3,2020,9801.851851851852,Appartement,3.0
3,2020,5416.666666666667,Appartement,2.0
3,2020,18191.304347826088,Appartement,2.0
3,2020,13000.0,Appartement,3.0
8,2020,2458.3333333333335,Local industriel. commercial ou assimilé,0.0
8,2020,13222.222222222223,Appartement,1.0
3,2020,17289.719626168226,Appartement,5.0
3,2020,80434.78260869565,Local industriel. commercial ou assimilé,0.0
3,2020,6863.75,Appartement,1.0
8,2020,30882.352941176472,Local industriel. commercial ou assimilé,0.0
8,2020,35000.0,Appartement,1.0
8,2020,2266.6666666666665,Local industriel. commercial ou assimilé,0.0
3,2020,16666.666666666668,Appartement,1.0
3,2020,21666.666666666668,Appartement,3.0
8,2020,16572.85714285714,Appartement,1.0
3,2020,172.41379310344828,Appartement,1.0
8,2020,11500.0,Local industriel. commercial ou assimilé,0.0
8,2020,15228.59756097561,Appartement,6.0
3,2020,12692.307692307691,Appartement,2.0
1,2020,13421.052631578947,Appartement,1.0
1,2020,10400.0,Appartement,1.0
3,2020,18000.0,Appartement,1.0
8,2020,1916.6666666666667,Appartement,6.0
8,2020,14705.882352941177,Local industriel. commercial ou assimilé,0.0
3,2020,30681.81818181818,Appartement,1.0
3,2020,28125.0,Appartement,2.0
1,2020,14493.4,Appartement,1.0
8,2020,7692.307692307692,Appartement,1.0
3,2020,13250.0,Appartement,3.0
3,2020,11407.142857142857,Appartement,3.0
3,2020,12884.615384615385,Appartement,1.0
8,2020,10580.708661417322,Appartement,4.0
8,2020,11444.444444444445,Appartement,2.0
8,2020,23589.74358974359,Appartement,3.0
8,2020,13663.333333333334,Appartement,1.0
3,2020,17833.333333333332,Appartement,2.0
8,2020,14666.666666666666,Appartement,3.0
8,2020,14727.272727272728,Appartement,1.0
3,2020,16562.5,Appartement,2.0
1,2020,18780.48780487805,Appartement,3.0
8,2020,13125.0,Appartement,1.0
1,2020,15375.0,Appartement,1.0
8,2020,8309.45945945946,Local industriel. commercial ou assimilé,0.0
3,2020,19066.666666666668,Appartement,1.0
8,2020,6666.666666666667,Local industriel. commercial ou assimilé,0.0
3,2020,14190.74074074074,Appartement,2.0
8,2020,8357.142857142857,Appartement,2.0
3,2020,13593.75,Appartement,3.0
3,2020,11600.0,Appartement,1.0
8,2020,15380.0,Local industriel. commercial ou assimilé,0.0
8,2020,33900.0,Appartement,1.0
1,2020,10000.0,Appartement,1.0
8,2020,13807.317073170732,Appartement,3.0
3,2020,22272.727272727272,Local industriel. commercial ou assimilé,0.0
1,2020,14423.076923076924,Local industriel. commercial ou assimilé,0.0
3,2020,11052.631578947368,Appartement,1.0
8,2020,9318.181818181818,Local industriel. commercial ou assimilé,0.0
8,2020,2746.6206896551726,Appartement,5.0
8,2020,82352.94117647059,Local industriel. commercial ou assimilé,0.0
8,2020,78651.68539325842,Local industriel. commercial ou assimilé,0.0
8,2020,70000.0,Local industriel. commercial ou assimilé,0.0
8,2020,79545.45454545454,Local industriel. commercial ou assimilé,0.0
8,2020,175000.0,Local industriel. commercial ou assimilé,0.0
8,2020,3000000.0,Appartement,1.0
8,2020,3500000.0,Appartement,1.0
8,2020,807692.3076923077,Appartement,1.0
8,2020,85365.85365853658,Local industriel. commercial ou assimilé,0.0
8,2020,14125.0,Appartement,2.0
8,2020,17500.0,Appartement,3.0
8,2020,182000.0,Local industriel. commercial ou assimilé,0.0
1,2020,14107.142857142857,Local industriel. commercial ou assimilé,0.0
3,2020,11347.826086956522,Appartement,1.0
8,2020,24166.666666666668,Local industriel. commercial ou assimilé,0.0
8,2020,14516.129032258064,Appartement,5.0
8,2020,90000.0,Appartement,1.0
3,2020,11302.105263157895,Appartement,3.0
3,2020,12142.857142857143,Appartement,2.0
3,2020,10668.552631578947,Appartement,2.0
3,2020,8600.0,Local industriel. commercial ou assimilé,0.0
8,2020,253.33333333333334,Appartement,2.0
1,2020,6623.303571428572,Appartement,3.0
1,2020,13487.454545454546,Appartement,3.0
1,2020,10937.5,Appartement,3.0
1,2020,578.2317073170732,Appartement,2.0
1,2020,237.075,Appartement,4.0
8,2020,10428.57142857143,Local industriel. commercial ou assimilé,0.0
8,2020,7156.862745098039,Local industriel. commercial ou assimilé,0.0
8,2020,5000.0,Local industriel. commercial ou assimilé,0.0
8,2020,14666.666666666666,Appartement,1.0
1,2020,8333.333333333334,Appartement,1.0
8,2020,53500.0,Appartement,1.0
8,2020,11278.378378378378,Appartement,6.0
8,2020,296.2962962962963,Appartement,3.0
3,2020,1568.6274509803923,Appartement,2.0
3,2020,13653.846153846154,Appartement,3.0
3,2020,12727.272727272728,Appartement,2.0
1,2020,13523.8,Appartement,1.0
8,2020,15625.0,Appartement,1.0
8,2020,88633.33333333333,Appartement,3.0
3,2020,14166.666666666666,Local industriel. commercial ou assimilé,0.0
8,2020,13137.021276595744,Appartement,4.0
3,2020,15600.0,Appartement,2.0
3,2020,750.0,Local industriel. commercial ou assimilé,0.0
1,2020,15500.0,Appartement,2.0
3,2020,14198.0,Appartement,1.0
8,2020,11086.95652173913,Appartement,2.0
8,2020,7500.0,Local industriel. commercial ou assimilé,0.0
8,2020,12777.777777777777,Appartement,2.0
3,2020,13775.0,Appartement,1.0
1,2020,12384.615384615385,Appartement,2.0
3,2020,274.5098039215686,Appartement,1.0
8,2020,34629.87012987013,Local industriel. commercial ou assimilé,0.0
8,2020,444416.6666666667,Local industriel. commercial ou assimilé,0.0
