Arrondissement,nb_logmt_total_finance
18,6
12,24
7,15
15,92
3,16
3,39
17,121
15,55
12,35
20,20
9,28
20,1
12,9
18,3
15,4
18,32
10,67
10,15
10,25
12,13
16,2
5,2
20,16
13,23
20,7
18,25
12,23
18,9
11,300
15,5
14,20
12,41
19,56
13,49
11,3
18,1
15,50
12,8
20,4
13,5
13,3
18,6
18,4
14,2
19,7
20,10
2,10
7,11
12,141
10,66
15,10
18,3
18,6
20,303
12,27
13,10
12,14
12,1
15,1
1,8
1,12
11,22
13,72
5,1
17,1
17,3
18,100
20,10
20,6
20,20
5,17
3,4
12,1
12,1
17,29
16,16
16,1
17,1
11,14
17,2
15,2
20,1
20,2
15,1
19,1
13,109
12,92
17,12
1,25
5,2
18,2
12,1
15,1
20,1
13,100
18,4
16,1
11,18
14,8
10,14
19,17
18,5
19,1
15,2
18,4
18,1
17,20
15,1
20,1
1,36
16,24
20,12
15,60
12,22
12,2
20,9
15,2
15,1
6,55
5,14
19,36
18,10
19,95
20,2
11,12
9,20
18,1
20,2
17,16
17,100
17,1
10,23
19,25
19,19
12,28
15,2
16,45
20,2
10,7
14,86
20,52
10,43
20,8
17,74
15,258
15,16
3,24
19,1
12,39
14,9
18,90
18,106
20,56
10,47
17,1
19,13
13,12
16,9
19,54
17,849
19,12
10,12
20,130
18,3
16,17
17,1
13,4
11,1
14,63
20,26
20,94
20,18
13,32
18,7
10,24
15,16
1,1
3,1
11,1
18,2
18,17
3,20
18,15
18,1
17,1
13,1
13,75
14,16
14,1
4,1
5,5
12,3
17,1
12,4
12,36
14,25
2,17
19,71
20,118
9,17
10,14
13,1
11,18
14,1
20,1
6,63
5,4
18,5
13,4
19,86
14,16
5,18
3,1
13,73
5,12
11,15
18,7
12,45
6,6
19,36
13,163
13,35
17,24
19,8
19,10
17,4
19,12
5,11
15,52
4,23
9,25
13,38
13,37
2,15
14,6
20,4
12,32
11,3
18,56
20,11
20,2
19,15
20,47
15,1
18,2
18,21
18,8
2,8
4,11
18,2
4,15
18,12
13,32
13,9
8,12
3,6
5,29
11,3
14,10
20,5
20,15
10,28
18,22
18,4
12,28
12,1
20,11
18,7
13,5
1,8
19,25
4,20
4,9
17,3
20,7
15,12
15,5
10,72
20,7
19,1
10,26
15,56
16,37
17,2
10,16
19,6
15,5
18,1
20,1
18,27
20,6
12,2
14,8
11,11
17,5
14,156
14,13
19,26
19,21
13,1
18,3
18,1
18,14
20,1
19,15
13,118
3,21
7,27
17,2
13,92
11,24
4,14
6,19
11,8
17,24
14,298
13,62
5,79
17,1
13,25
15,1
13,277
19,62
10,1
11,2
20,1
18,40
14,24
13,75
20,1
13,72
19,61
20,22
9,37
18,111
1,16
20,3
3,12
9,17
16,11
20,85
18,12
20,29
10,1
17,1
7,18
14,2
14,62
17,28
17,7
20,5
5,1
20,17
17,5
20,94
12,77
13,1
15,1
17,1
15,40
18,22
2,9
12,24
18,73
20,42
18,6
18,7
20,14
14,300
14,5
19,10
12,15
20,1
20,10
6,4
11,7
18,53
18,1
18,29
18,29
20,32
10,12
18,67
12,2
17,7
17,7
20,1
10,31
13,1
20,1
17,1
12,1
17,2
13,3
9,9
16,1
13,1
15,62
20,261
19,11
12,4
8,1
7,2
19,34
16,1
18,22
12,32
18,20
4,6
12,11
12,12
20,28
18,11
19,3
10,14
13,134
15,5
12,1
12,1
14,1
16,9
13,1
11,27
20,20
18,56
16,15
13,2
20,11
17,25
12,64
12,164
7,14
16,17
12,24
18,5
20,13
15,36
5,1
13,35
5,4
9,16
13,56
17,85
5,5
19,7
18,5
19,14
17,22
12,63
2,8
18,8
18,12
20,4
12,13
16,8
20,13
14,368
12,20
17,11
16,25
20,2
17,31
14,27
1,47
18,1
17,8
11,91
11,47
16,2
13,207
16,48
6,7
20,3
17,7
20,7
19,15
18,146
18,8
19,5
17,1
19,7
9,15
9,13
18,17
19,1
16,2
13,267
1,6
1,9
2,12
3,11
3,8
4,11
12,1
19,5
18,15
9,13
3,13
20,1
19,89
14,11
18,14
11,43
8,11
20,4
20,1
20,1
20,1
13,1
4,5
18,49
11,5
14,1
9,12
20,180
18,6
12,344
16,1
13,28
13,71
20,222
10,9
11,18
20,7
20,17
18,2
19,11
20,5
15,12
19,53
19,106
12,10
20,1
4,26
5,6
15,1
2,14
19,173
12,9
15,15
13,1
18,8
15,111
11,13
6,2
10,8
18,13
14,22
15,4
11,1
3,1
18,33
20,7
20,21
18,36
19,15
18,6
19,17
20,7
12,1
15,10
18,11
4,25
13,2
19,1
20,3
15,35
5,15
9,19
17,10
20,22
19,18
20,13
11,1
17,4
13,2
10,1
14,9
20,15
14,79
18,4
12,36
12,54
15,16
16,1
18,20
20,24
12,3
14,1
18,1
15,27
18,72
11,1
20,1
9,16
16,25
20,8
14,109
12,1
6,1
6,2
9,16
15,14
15,132
15,83
9,2
9,1
14,1
19,2
12,57
18,8
16,25
10,25
10,18
18,18
12,16
18,80
13,1
1,10
18,46
14,25
17,34
13,1
11,28
19,1
16,1
14,1
2,4
5,565
18,19
19,6
8,10
18,75
14,48
20,29
18,13
15,8
16,10
11,100
15,88
16,1
10,23
13,2
14,43
15,1
11,18
12,7
15,83
12,19
19,11
15,71
18,42
9,11
2,1
15,55
9,18
20,30
11,39
5,23
11,13
2,22
4,8
18,3
18,6
3,10
13,39
11,1
12,1
20,1
12,45
20,8
18,3
20,29
18,6
11,5
10,9
18,9
10,11
12,210
18,10
20,7
20,15
18,46
10,15
9,28
15,21
4,9
15,5
17,19
11,1
11,12
10,86
11,6
19,42
18,4
18,1
15,1
9,22
13,33
18,3
15,3
13,9
20,31
13,33
20,10
19,13
18,24
18,13
19,46
17,3
4,16
9,11
16,12
16,1
9,18
14,16
15,7
12,1
3,15
19,4
18,22
20,36
20,2
20,4
12,14
20,14
5,3
17,1
20,2
20,2
10,90
15,12
9,12
14,98
20,32
20,1
10,132
13,129
15,192
15,2
4,47
6,36
15,12
18,20
19,3
20,20
11,26
20,88
20,6
6,11
4,3
4,1
13,2
10,78
18,50
14,12
14,1
17,67
19,8
19,7
18,2
16,1
9,6
8,1
13,38
16,1
18,279
12,23
13,1
15,3
19,3
20,1
9,3
1,2
19,100
15,2
10,1
18,10
15,18
13,119
13,1
11,1
15,11
16,1
17,14
17,19
4,37
11,6
17,1
8,84
12,48
15,14
9,1
18,3
4,1
3,13
13,6
14,27
12,150
2,2
18,12
6,6
10,16
20,501
18,17
3,1
11,2
16,51
1,1
18,1
13,34
15,95
15,1
12,1
20,176
14,2
14,22
17,360
11,120
14,7
15,12
9,21
18,47
12,2
12,76
15,23
15,35
17,1
3,8
5,12
17,169
3,5
13,89
3,10
15,8
20,1
20,14
18,77
12,12
18,56
13,199
14,10
16,17
18,11
20,3
13,6
18,1
3,3
19,2
10,8
11,12
10,94
8,18
20,40
12,34
5,16
17,31
14,1
20,10
14,20
20,8
15,46
11,51
18,33
18,31
18,23
14,1
2,5
11,29
15,5
20,64
12,64
18,10
19,10
12,4
12,40
18,8
18,27
18,18
10,2
12,13
13,57
13,50
19,132
17,29
12,30
11,62
11,8
19,46
18,13
14,9
11,17
17,6
19,98
4,9
14,51
19,8
10,11
12,7
15,2
11,36
13,22
17,6
11,32
10,1
1,5
4,8
17,1
18,15
20,20
18,34
2,18
11,18
10,9
4,34
20,60
5,25
20,14
13,5
10,16
19,13
8,11
9,1
12,1
11,88
16,47
15,4
19,93
19,130
18,6
20,1
18,13
12,4
13,1
17,55
18,12
5,6
17,60
19,30
18,19
12,32
3,9
14,2
15,1
18,64
20,1
5,12
16,9
13,19
15,6
11,15
18,8
11,17
10,5
10,14
7,50
12,1
15,1
18,24
13,85
10,2
13,13
16,2
17,7
11,7
15,1
18,19
15,12
13,1
4,15
17,197
20,1
10,1
10,1
10,1
10,1
16,122
15,49
18,10
17,18
14,35
19,9
17,19
18,24
20,12
15,8
14,23
11,23
8,3
14,11
11,22
15,2
19,66
7,23
10,5
15,22
18,14
19,16
4,1
12,422
19,36
10,19
11,1
16,22
19,16
11,6
12,17
16,15
18,40
18,33
20,1
20,1
20,14
4,13
15,60
11,1
17,1
10,48
20,35
15,2
10,1
13,1
15,16
16,1
17,24
17,28
9,23
9,8
2,32
13,1
18,7
14,10
14,17
13,2
11,1
4,3
17,37
20,1
11,1
18,65
20,20
19,115
17,1
18,14
10,10
20,31
11,81
15,42
19,45
11,13
19,224
16,310
13,2
12,11
19,18
20,35
14,45
11,37
14,4
18,5
15,68
10,9
13,25
20,1
5,7
13,48
19,54
14,8
10,17
15,48
18,13
19,8
17,55
18,10
19,22
15,55
11,19
12,12
18,89
12,2
18,2
11,42
18,38
6,45
14,13
20,48
12,4
20,2
11,13
18,55
18,15
12,22
3,18
18,13
15,34
15,20
19,8
11,8
16,20
13,11
9,130
18,10
2,38
18,10
3,7
13,65
16,135
14,131
9,1
15,6
20,8
19,7
6,15
16,5
20,15
13,9
18,12
20,2
17,35
18,20
19,67
17,270
1,18
3,23
4,10
16,1
18,4
12,35
2,8
13,9
20,19
1,7
20,62
15,1
12,21
12,21
20,2
13,25
12,210
15,135
20,37
17,20
17,150
19,2
18,24
20,1
20,-8
5,11
19,22
15,1
15,1
17,1
18,1
14,5
14,2
16,3
11,2
12,16
11,46
3,4
20,9
16,1
13,16
11,17
11,20
15,8
15,15
20,18
15,25
20,1
4,22
13,56
18,13
14,51
15,1
17,3
20,2
13,20
11,22
14,1
20,1
1,12
6,1
10,30
12,106
14,48
15,2
15,26
16,2
10,12
11,78
14,27
20,12
17,69
8,23
20,1
19,1
9,1
17,3
19,6
20,17
19,6
17,29
17,1019
5,24
20,193
13,1
10,8
19,595
10,61
14,20
8,18
12,15
18,1
4,2
20,16
12,24
14,1
17,13
19,1
15,1
6,1
18,15
15,760
15,1
12,1
18,1
18,23
8,6
14,15
18,12
12,94
13,1
12,14
20,25
10,11
15,1
17,40
20,8
9,24
14,17
18,34
18,9
20,227
20,22
13,1
17,1
1,1
13,1
13,2
12,17
20,3
13,5
10,1
20,2
4,1
13,2
19,5
4,26
20,21
12,38
13,6
2,40
20,9
15,140
20,4
20,3
17,5
19,31
20,2
15,19
10,11
13,2
11,23
15,29
13,1
15,56
20,142
12,19
12,16
18,21
15,17
16,27
9,12
18,32
20,11
14,28
5,6
13,15
17,33
19,6
20,26
19,7
12,68
19,1
5,17
18,22
11,2
14,16
8,10
20,3
20,44
7,9
18,71
12,21
18,18
20,47
9,43
5,8
18,3
20,8
13,27
2,3
18,42
5,17
12,1
19,4
18,3
20,17
16,31
13,60
15,11
18,35
11,1
11,28
11,9
10,5
18,3
15,20
19,3
14,12
13,1
15,6
16,1
16,4
16,4
12,17
16,5
19,3
10,26
20,2
18,5
20,9
19,11
14,7
18,10
17,23
12,3
13,30
20,1
20,1
18,9
10,16
15,1
14,1
14,21
17,4
12,159
15,2
18,3
15,15
18,16
1,4
20,90
12,1
13,4
12,6
19,2
13,65
11,11
18,18
2,12
1,1
15,24
15,37
18,11
4,5
5,8
13,87
15,26
10,66
11,44
5,1
20,11
14,14
15,15
15,2
4,3
13,21
9,3
15,29
20,4
19,13
18,55
15,42
14,33
14,75
15,13
15,14
3,1
12,368
17,14
13,181
10,11
20,120
16,5
14,12
6,16
12,2
14,34
18,30
19,64
20,3
13,1
15,1
15,13
16,291
20,3
20,45
12,22
12,19
4,12
9,2
10,57
13,42
14,10
17,9
17,250
13,386
14,34
10,17
4,80
14,9
17,28
4,6
11,18
12,12
11,1
6,13
19,1
6,1
15,380
6,5
12,1
14,1
18,2
13,22
18,14
4,1
11,1
17,1
13,2
17,1
18,5
15,80
16,16
19,5
15,12
18,76
10,32
20,48
10,31
18,53
12,76
20,52
4,38
8,10
11,14
18,155
3,16
13,1
10,12
20,16
13,1
9,14
5,24
18,24
3,27
15,35
3,11
12,82
19,40
3,27
20,50
5,5
8,22
18,19
1,17
5,19
18,12
6,63
10,67
19,8
10,2
13,15
15,4
12,16
12,10
4,1
20,10
12,42
1,2
13,11
13,64
20,20
14,20
18,13
15,156
13,4
20,9
14,3
19,44
15,13
17,31
20,1
18,5
18,1
18,1
15,6
15,2
18,11
13,1
18,9
2,20
20,15
19,6
1,16
1,5
3,43
10,6
15,2
18,3
15,211
11,20
20,5
20,7
20,15
18,13
17,18
13,31
20,11
8,11
3,13
3,3
11,66
19,95
13,5
18,10
13,3
20,4
5,12
10,12
15,29
13,1
18,4
15,2
1,4
16,4
12,1
20,103
15,6
14,10
10,1
3,10
10,54
9,30
11,13
19,12
18,1
15,5
3,4
12,2
17,1
13,1
7,20
12,90
14,13
15,101
4,37
4,24
5,37
3,7
14,97
15,57
20,41
16,140
11,3
18,9
12,3
1,11
17,3
19,2
13,24
19,6
20,76
11,52
19,15
10,29
12,34
15,101
17,1
13,92
19,54
6,7
5,1
3,18
16,307
10,8
10,43
13,100
15,28
20,1
3,39
15,32
14,17
8,22
14,58
14,42
18,2
18,16
1,2
16,25
10,67
15,17
17,31
19,164
12,6
9,20
6,1
12,12
17,1
9,3
12,2
18,1
4,9
13,15
15,1
13,1
18,18
15,19
13,75
10,2
15,23
11,19
14,158
17,1
16,316
8,1
18,13
17,23
20,69
20,16
18,34
14,10
13,5
18,1
18,2
20,21
18,17
13,1
15,39
20,30
1,1
15,10
19,6
18,17
11,12
11,16
18,22
5,23
11,57
12,1
15,26
11,23
18,242
16,10
9,1
19,6
15,16
13,1
4,1
12,249
20,73
4,13
18,5
6,55
11,3
9,24
9,18
15,91
11,40
18,17
20,11
18,77
20,3
17,64
19,88
14,24
10,19
5,9
12,17
14,23
15,48
20,47
11,6
8,57
12,30
18,6
14,52
15,126
15,7
16,15
20,12
7,22
15,16
15,218
20,1
13,41
18,7
10,1
15,14
11,189
10,15
20,2
13,100
4,13
18,8
13,28
2,21
12,11
2,2
19,23
4,22
14,15
14,30
13,2
15,2
19,9
1,5
3,15
3,9
4,5
11,22
18,2
10,12
12,28
13,230
9,18
19,48
15,10
12,30
15,16
11,17
13,165
11,1
2,43
9,4
12,21
20,12
20,37
13,46
14,120
18,24
4,6
20,31
12,2
17,4
15,12
18,16
20,1
20,2
15,88
20,77
18,6
15,7
1,28
9,10
19,11
13,14
20,6
20,2
10,14
13,1
15,2
15,1
16,1
20,23
17,40
19,5
17,103
17,89
18,18
20,1
13,225
9,23
18,16
19,14
18,1
15,1
18,85
19,8
20,53
20,5
20,26
11,4
19,198
17,29
20,1
12,140
13,64
18,13
6,21
8,17
11,1
13,1
19,2
11,41
9,1
18,240
15,68
17,2
7,10
18,7
19,21
19,5
9,3
17,16
19,51
12,1
10,1
14,38
13,52
2,8
15,8
10,6
5,1
6,1
17,6
9,9
15,2
18,2
11,2
18,1
20,1
17,64
20,4
20,1
11,2
11,12
20,103
20,1
15,5
17,1
19,14
18,19
12,1
18,7
20,1
17,1
20,13
13,1
13,1
14,1
15,47
18,6
14,7
13,1
11,26
14,22
10,20
5,17
3,5
2,3
14,5
18,4
19,6
20,9
18,52
12,31
10,16
1,23
13,1
8,6
6,25
